ts,x,y,theta,cmd_vl,cmd_vr,acc_rms,ir_max,bumps,batt
2025-10-23T18:34:38,0.0,0.0,89.9,0.0,0.0,0.0,438,0,"(16678, 99)"
2025-10-23T18:34:38,0.0,0.0,89.9,0.0,0.0,0.0,441,0,"(16678, 99)"
2025-10-23T18:34:39,0.0,0.0,89.9,0.0,0.0,0.0,432,0,"(16678, 99)"
2025-10-23T18:34:39,0.0,0.0,89.9,0.0,0.0,0.0,439,0,"(16678, 99)"
2025-10-23T18:34:40,0.0,0.0,89.9,0.0,0.0,0.0,432,0,"(16678, 99)"
2025-10-23T18:34:41,0.0,0.0,89.9,0.0,0.0,0.0,434,0,"(16678, 99)"
2025-10-23T18:34:41,0.0,0.0,89.9,0.0,0.0,0.0,432,0,"(16678, 99)"
2025-10-23T18:34:42,0.0,0.0,89.9,0.0,0.0,0.0,439,0,"(16678, 99)"
2025-10-23T18:34:43,0.0,0.0,89.9,0.0,0.0,0.0,440,0,"(16678, 99)"
2025-10-23T18:34:43,0.0,0.0,89.9,0.0,0.0,0.0,438,0,"(16678, 99)"
2025-10-23T18:34:44,0.0,0.0,89.9,0.0,0.0,0.0,433,0,"(16678, 99)"
2025-10-23T18:34:44,0.0,0.0,89.9,0.0,0.0,0.0,432,0,"(16678, 99)"
2025-10-23T18:34:45,0.0,0.0,89.9,0.0,0.0,0.0,440,0,"(16678, 99)"
2025-10-23T18:34:46,0.0,0.0,89.9,0.0,0.0,0.0,439,0,"(16678, 99)"
